Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait,net_pairs,direction,product,n_LSDV,n_SPPV,n_GTPV
OG0000004,,,0,194,16,80,0.0,29.1970802919708,0.0,8.43865107936011e-09,8.016718525392104e-07,1.3361197542320173e-07,1,0,1,1.0,1.0,0.0009990009990009,Host_Goat,-1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000150,,,0,186,16,88,0.0,32.11678832116788,0.0,3.381602787080752e-08,3.2125226477267147e-06,4.589318068181021e-07,1,0,1,1.0,1.0,0.0009990009990009,Host_Goat,-1,کاهش,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000153,,,0,150,16,124,0.0,45.25547445255474,0.0,5.443450102544852e-06,0.0005171277597417,6.464096996772011e-05,1,0,1,1.0,1.0,0.0019980019980019,Host_Goat,-1,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000151,,,16,140,0,134,100.0,48.9051094890511,inf,3.638984698460526e-05,0.0034570354635375,0.0003457035463537,1,1,0,1.0,1.0,0.0029970029970029,Host_Goat,1,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
OG0000154,,,0,114,16,160,0.0,58.3941605839416,0.0,0.0003218250797693,0.0305733825780866,0.0027793984161896,1,0,1,1.0,1.0,0.0119880119880119,Host_Goat,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000004,,,0,194,34,62,0.0,24.21875,0.0,4.481629481705892e-19,4.2575480076205967e-17,7.095913346034328e-18,1,0,1,1.0,1.0,0.0009990009990009,Host_Sheep,-1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000152,,,33,58,1,198,97.05882352941175,77.34375,112.65517241379312,5.582211476734186e-18,5.303100902897476e-16,7.57585843271068e-17,1,1,1,1.0,1.0,0.0009990009990009,Host_Sheep,0,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
OG0000150,,,0,186,34,70,0.0,27.34375,0.0,1.222791470723453e-17,1.1616518971872805e-15,1.4520648714841003e-16,1,0,1,1.0,1.0,0.0009990009990009,Host_Sheep,-1,کاهش,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000002,,,10,227,24,29,29.411764705882355,11.328125,0.053230543318649,4.379392607764939e-13,4.160422977376692e-11,4.6226921970852135e-12,1,1,1,1.0,1.0,0.0249750249750249,Host_Sheep,0,کاهش,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000151,,,34,122,0,134,100.0,52.34375,inf,1.2385096458928427e-10,1.1765841635982006e-08,1.1765841635982003e-09,1,1,0,1.0,1.0,0.0059940059940059,Host_Sheep,1,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],106,34,16
