year,root_to_tip_distance
2022.0,2889.85581
2020.0,2889.84607
2022.0,2889.84607
2021.0,2890.85432
2021.5833333333333,2890.85422
2019.0,2889.8412
2022.6655251141551,2889.82659
2021.0,2889.84583
2021.0,2889.8459
2024.0,2888.85229
2021.0,2888.85229
2021.7801369863014,2888.84742
2021.0,2888.84255
2020.001598173516,2888.83281
2020.001598173516,2888.83281
2019.0,2889.84583
2019.0,2889.84583
2022.0,2889.8459
2019.0,2889.8459
2020.001598173516,2888.82307
2024.0,2891.83355
2024.041095890411,2889.82635
2017.5383561643835,2887.80439
1974.0,2886.82043
2021.0,2886.82043
2021.0,2886.82043
1981.0,82.0724
2014.0,99.71938
2013.0,93.16161
2000.0,83.78036
2024.0,93.13807
2019.0,89.39927999999999
2019.0,89.39927999999999
2019.0,89.40894
2019.0,89.40894
2020.0,98.78667
2018.0,89.40365
2020.0,93.14643
2023.5383561643835,105.48799
2018.0,87.35212
2013.2801369863014,87.38873
2013.2801369863014,85.52669
2017.0,31.89369
2022.7242009132422,18.579539999999998
2023.393607305936,19.66567
2023.8130136986301,27.1681
2023.9331050228311,23.42642
2023.7105022831051,24.36502
2018.0,26.24722
